task,method_a,method_b,mean_delta_a_minus_b,std_delta,wins_a,wins_b,ties,runs
lcbench_cnae-9,HyperRL-MLP,Random Search,-0.167364501953125,0.4770622304022745,2,1,2,5
lcbench_cnae-9,OurMethod-LC-DQN-MLP,Random Search,0.502093505859375,1.6312624889140543,1,1,3,5
lcbench_connect-4,Bayesian Optimization,HyperRL-MLP,2.4755645751953126,6.066510160880963,1,2,2,5
lcbench_connect-4,Bayesian Optimization,OurMethod-LC-DQN-MLP,2.4755645751953126,6.066510160880963,1,2,2,5
lcbench_connect-4,Bayesian Optimization,Random Search,2.4755645751953126,6.066510160880963,1,2,2,5
lcbench_connect-4,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.0,0.0,0,0,5,5
lcbench_connect-4,HyperRL-MLP,Random Search,0.0,0.0,0,0,5,5
lcbench_connect-4,OurMethod-LC-DQN-MLP,Random Search,0.0,0.0,0,0,5,5
lcbench_covertype,Bayesian Optimization,HyperRL-MLP,-2.0619300842285155,8.847309246725233,3,2,0,5
lcbench_covertype,Bayesian Optimization,OurMethod-LC-DQN-MLP,-1.1209533691406222,8.485408365240257,2,2,1,5
lcbench_covertype,Bayesian Optimization,Random Search,-2.5288391113281223,9.666160876907039,3,2,0,5
lcbench_covertype,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.9409767150878935,4.042593764958058,1,2,2,5
lcbench_covertype,HyperRL-MLP,Random Search,-0.4669090270996065,1.8008656928796174,2,1,2,5
lcbench_covertype,OurMethod-LC-DQN-MLP,Random Search,-1.4078857421875,3.359382724443798,2,1,2,5
lcbench_credit-g,Bayesian Optimization,HyperRL-MLP,0.6306320190429687,1.7329176152488783,1,2,2,5
lcbench_credit-g,Bayesian Optimization,OurMethod-LC-DQN-MLP,0.810809326171875,1.8407915527781087,1,4,0,5
lcbench_credit-g,Bayesian Optimization,Random Search,0.9909896850585938,1.8951048258347598,1,3,1,5
lcbench_credit-g,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.18017730712890626,1.0370131911408451,2,2,1,5
lcbench_credit-g,HyperRL-MLP,Random Search,0.360357666015625,1.328637065441491,2,1,2,5
lcbench_credit-g,OurMethod-LC-DQN-MLP,Random Search,0.18018035888671874,1.4456555201569925,1,2,2,5
lcbench_dionis,Bayesian Optimization,HyperRL-MLP,0.10128233432769777,0.1147851356148551,1,3,1,5
lcbench_dionis,Bayesian Optimization,OurMethod-LC-DQN-MLP,0.014344704151153586,0.17675062987538917,1,2,2,5
lcbench_dionis,Bayesian Optimization,Random Search,-0.031514883041381836,0.05803533152345348,2,0,3,5
lcbench_dionis,HyperRL-MLP,OurMethod-LC-DQN-MLP,-0.08693763017654418,0.17130930848692147,2,2,1,5
lcbench_dionis,HyperRL-MLP,Random Search,-0.13279721736907962,0.15257374183141262,3,1,1,5
lcbench_dionis,OurMethod-LC-DQN-MLP,Random Search,-0.045859587192535425,0.22287754832853482,2,1,2,5
lcbench_fabert,Bayesian Optimization,HyperRL-MLP,-0.7358642578124972,0.41387093691050586,5,0,0,5
lcbench_fabert,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.38440704345703125,0.32719282415843515,5,0,0,5
lcbench_fabert,Bayesian Optimization,Random Search,-0.6479980468749972,0.6983060828939608,5,0,0,5
lcbench_fabert,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.3514572143554659,0.22171013113388904,0,4,1,5
lcbench_fabert,HyperRL-MLP,Random Search,0.0878662109375,0.6340226449911681,1,4,0,5
lcbench_fabert,OurMethod-LC-DQN-MLP,Random Search,-0.26359100341796593,0.6420578287441642,2,2,1,5
lcbench_helena,Bayesian Optimization,HyperRL-MLP,12.923829627037048,33.523257030030194,3,2,0,5
lcbench_helena,Bayesian Optimization,OurMethod-LC-DQN-MLP,28.76267786026001,41.955943892192714,3,2,0,5
lcbench_helena,Bayesian Optimization,Random Search,12.679639673233032,32.920525015226296,4,1,0,5
lcbench_helena,HyperRL-MLP,OurMethod-LC-DQN-MLP,15.838848233222961,33.96662973684274,2,2,1,5
lcbench_helena,HyperRL-MLP,Random Search,-0.24418995380401612,56.006556597670915,2,2,1,5
lcbench_helena,OurMethod-LC-DQN-MLP,Random Search,-16.08303818702698,64.95426959047532,2,2,1,5
lcbench_higgs,Bayesian Optimization,HyperRL-MLP,0.6577491760253935,4.869312278299048,3,2,0,5
lcbench_higgs,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.532288360595706,5.842450434726692,3,2,0,5
lcbench_higgs,Bayesian Optimization,Random Search,-0.07841186523438068,6.028330488116975,3,2,0,5
lcbench_higgs,HyperRL-MLP,OurMethod-LC-DQN-MLP,-1.1900375366210993,1.7342777982401434,2,0,3,5
lcbench_higgs,HyperRL-MLP,Random Search,-0.7361610412597741,1.7460261137869917,2,1,2,5
lcbench_higgs,OurMethod-LC-DQN-MLP,Random Search,0.4538764953613253,1.8156724741725545,1,2,2,5
lcbench_jannis,Bayesian Optimization,HyperRL-MLP,-1.397861480712892,2.957675398651961,4,1,0,5
lcbench_jannis,Bayesian Optimization,OurMethod-LC-DQN-MLP,-1.6538833618164048,3.246217916193624,4,1,0,5
lcbench_jannis,Bayesian Optimization,Random Search,-0.9722373962402358,3.5325447286831624,3,2,0,5
lcbench_jannis,HyperRL-MLP,OurMethod-LC-DQN-MLP,-0.25602188110351276,1.141631805266723,2,1,2,5
lcbench_jannis,HyperRL-MLP,Random Search,0.42562408447265626,2.0640149534719705,2,1,2,5
lcbench_jannis,OurMethod-LC-DQN-MLP,Random Search,0.6816459655761691,1.5358957201473928,1,2,2,5
lcbench_jasmine,Bayesian Optimization,HyperRL-MLP,-0.36308746337890624,0.48553156904482025,3,1,1,5
lcbench_jasmine,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.06051483154296875,0.4487867873050469,2,2,1,5
lcbench_jasmine,Bayesian Optimization,Random Search,-0.03025665283203125,0.1265726598063979,2,1,2,5
lcbench_jasmine,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.3025726318359375,0.7095960457464884,1,3,1,5
lcbench_jasmine,HyperRL-MLP,Random Search,0.332830810546875,0.44623057472045585,0,3,2,5
lcbench_jasmine,OurMethod-LC-DQN-MLP,Random Search,0.0302581787109375,0.48316824129938696,1,1,3,5
lcbench_jungle_chess_2pcs_raw_endgame_complete,Bayesian Optimization,HyperRL-MLP,-1.2371368408203125,10.767296579678268,3,2,0,5
lcbench_jungle_chess_2pcs_raw_endgame_complete,Bayesian Optimization,OurMethod-LC-DQN-MLP,-2.1332000732421874,11.949942684085572,2,3,0,5
lcbench_jungle_chess_2pcs_raw_endgame_complete,Bayesian Optimization,Random Search,-0.7124130249023437,11.83097565151221,2,3,0,5
lcbench_jungle_chess_2pcs_raw_endgame_complete,HyperRL-MLP,OurMethod-LC-DQN-MLP,-0.896063232421875,1.4870082088817063,2,1,2,5
lcbench_jungle_chess_2pcs_raw_endgame_complete,HyperRL-MLP,Random Search,0.5247238159179688,3.8964671077336708,1,2,2,5
lcbench_jungle_chess_2pcs_raw_endgame_complete,OurMethod-LC-DQN-MLP,Random Search,1.4207870483398437,3.8861260299348546,1,2,2,5
lcbench_kc1,Bayesian Optimization,HyperRL-MLP,-0.38543701171875,5.133381641378119,3,1,1,5
lcbench_kc1,Bayesian Optimization,OurMethod-LC-DQN-MLP,1.84154052734375,4.408223165810029,2,3,0,5
lcbench_kc1,Bayesian Optimization,Random Search,0.556744384765625,2.243797750261132,2,2,1,5
lcbench_kc1,HyperRL-MLP,OurMethod-LC-DQN-MLP,2.2269775390625,2.6685108718038686,1,3,1,5
lcbench_kc1,HyperRL-MLP,Random Search,0.942181396484375,5.032345228554342,1,4,0,5
lcbench_kc1,OurMethod-LC-DQN-MLP,Random Search,-1.284796142578125,3.7457943009042487,3,1,1,5
lcbench_kr-vs-kp,Bayesian Optimization,HyperRL-MLP,-0.3111694335937557,1.6108320369915001,1,3,1,5
lcbench_kr-vs-kp,Bayesian Optimization,OurMethod-LC-DQN-MLP,0.9618148803710881,1.2507864986517179,0,5,0,5
lcbench_kr-vs-kp,Bayesian Optimization,Random Search,0.056581115722650566,1.420075565738414,2,3,0,5
lcbench_kr-vs-kp,HyperRL-MLP,OurMethod-LC-DQN-MLP,1.2729843139648438,1.7438227263738828,0,2,3,5
lcbench_kr-vs-kp,HyperRL-MLP,Random Search,0.36775054931640627,1.6238230264906899,1,2,2,5
