task,method,runs,best_val_score_mean,best_val_score_std,best_test_score_mean,best_test_score_std,simple_regret_mean,simple_regret_std,normalized_simple_regret_mean,normalized_simple_regret_std,best_iteration_mean
playground-series-s3e16,CrossDataset-LC-DQN,5,2.0436797397533417,0.003030790433370303,2.075633068110973,0.00729064947265651,0.0030502292982764524,0.0037379571191312405,0.023734005462627893,0.010425503793910697,4.8
playground-series-s3e16,Random Search,5,2.045337870722315,0.006474003051060124,2.0794097069322084,0.007837549094718552,0.004708360267250189,0.00450790472539567,0.02943774878895652,0.022269683389346446,7.8
playground-series-s3e25,Bayesian Optimization,5,1.3427957482637498,0.0025547422527011105,1.320917366481783,0.009243681324807499,0.0025536301822560946,0.0027809461487705773,0.04329905167430746,0.01715199893248172,8.2
playground-series-s3e25,CrossDataset-HyperRL,5,1.3412088932044937,0.0009256863610999719,1.314496054137847,0.010730138628408164,0.0009667751230000299,0.0010835857695104957,0.032645242565546635,0.006214862364535041,11.0
playground-series-s3e25,CrossDataset-LC-DQN,5,1.3436576824413573,0.003462226715533819,1.321104704233833,0.0028105148125461754,0.0034155643598635433,0.003275686119759462,0.04908589536805447,0.02324465760334897,7.8
playground-series-s3e25,Random Search,5,1.343110571963555,0.0038679781222523235,1.3192601695064197,0.010445300300488953,0.0028684538820612283,0.0036915771082922095,0.04541271138196226,0.02596878669603164,8.2
playground-series-s3e6,Bayesian Optimization,5,124162.55377254251,9791.152977978834,271754.7355146074,3357.3711897949606,3233.2060259607765,7229.668459310246,0.01299713507324541,0.009379995724664596,10.2
playground-series-s3e6,CrossDataset-HyperRL,5,131923.02074234246,26311.71572155552,277468.27609437174,12604.339591403339,10993.672995760737,18995.496858242455,0.020431718841045037,0.025206814920762082,6.2
playground-series-s3e6,CrossDataset-LC-DQN,5,127598.22186581152,21309.816694819678,275412.8468786376,10625.869332570033,6668.8741192297775,11316.298602833744,0.01628853008042282,0.0204149592944116,7.8
playground-series-s3e6,Random Search,5,132737.33015496604,12483.320081448781,278756.3187367305,5170.432441219373,11807.982408384301,4588.941574151105,0.02121183317754271,0.011959111379115699,10.8
playground-series-s3e8,Bayesian Optimization,5,717.700936269594,15.282673980294094,699.7819379546056,16.80837978587988,14.4159145247364,13.298335364023728,0.02289059975735109,0.018243972285612208,6.0
