task,method,runs,best_val_score_mean,best_val_score_std,best_test_score_mean,best_test_score_std,simple_regret_mean,simple_regret_std,best_iteration_mean
lcbench_dionis,CrossDataset-LC-DQN,1,0.04259943962097157,0.0,0.06073888541014405,0.0,0.0,0.0,4.0
lcbench_dionis,Random Search,1,0.416431188583374,0.0,0.3738259236067627,0.0,0.37383174896240245,0.0,4.0
lcbench_fabert,Bayesian Optimization,1,33.11367034912111,0.0,35.60132401618242,0.0,0.0,0.0,6.0
lcbench_fabert,CrossDataset-HyperRL,1,33.82756805419922,0.0,35.04965060684076,0.0,0.7138977050781108,0.0,11.0
lcbench_fabert,CrossDataset-LC-DQN,1,33.882484436035156,0.0,35.380654652445756,0.0,0.7688140869140483,0.0,13.0
lcbench_fabert,Random Search,1,34.43163299560547,0.0,34.718646561235744,0.0,1.3179626464843608,0.0,10.0
lcbench_helena,Bayesian Optimization,1,71.73777389526367,0.0,72.3820590285847,0.0,71.38293516635895,0.0,19.0
lcbench_helena,CrossDataset-HyperRL,1,77.53728675842285,0.0,77.81547757378573,0.0,77.18244802951813,0.0,2.0
lcbench_helena,CrossDataset-LC-DQN,1,0.7710718065500259,0.0,0.7211247966534975,0.0,0.4162330776453018,0.0,5.0
lcbench_helena,Random Search,1,0.3548387289047241,0.0,0.39112247269346967,0.0,0.0,0.0,15.0
lcbench_higgs,Bayesian Optimization,1,29.52490997314453,0.0,29.756459389294093,0.0,0.0,0.0,14.0
lcbench_higgs,CrossDataset-HyperRL,1,36.59132766723633,0.0,36.78761280751638,0.0,7.066417694091797,0.0,2.0
lcbench_higgs,CrossDataset-LC-DQN,1,30.76568603515625,0.0,30.52293237730251,0.0,1.2407760620117188,0.0,11.0
lcbench_higgs,Random Search,1,31.45294952392578,0.0,30.967981209049327,0.0,1.92803955078125,0.0,10.0
lcbench_jannis,Bayesian Optimization,1,39.12174606323242,0.0,38.46627099015634,0.0,1.3233222961425781,0.0,17.0
lcbench_jannis,CrossDataset-HyperRL,1,41.05001449584961,0.0,40.503763752171395,0.0,3.2515907287597656,0.0,2.0
lcbench_jannis,CrossDataset-LC-DQN,1,39.721290588378906,0.0,38.85712217718588,0.0,1.9228668212890625,0.0,11.0
lcbench_jannis,Random Search,1,37.798423767089844,0.0,37.358859293572664,0.0,0.0,0.0,10.0
lcbench_jasmine,Bayesian Optimization,1,18.30559539794922,0.0,24.796747967479675,0.0,0.0,0.0,11.0
lcbench_jasmine,CrossDataset-HyperRL,1,18.608169555664062,0.0,23.882113821138205,0.0,0.30257415771484375,0.0,18.0
lcbench_jasmine,CrossDataset-LC-DQN,1,18.608169555664062,0.0,23.577235772357724,0.0,0.30257415771484375,0.0,3.0
lcbench_jasmine,Random Search,1,18.30559539794922,0.0,23.577235772357724,0.0,0.0,0.0,4.0
lcbench_jungle_chess_2pcs_raw_endgame_complete,Bayesian Optimization,1,20.67608642578125,0.0,19.31710615280595,0.0,0.0,0.0,18.0
lcbench_jungle_chess_2pcs_raw_endgame_complete,CrossDataset-HyperRL,1,35.126136779785156,0.0,34.59770114942529,0.0,14.450050354003906,0.0,17.0
lcbench_jungle_chess_2pcs_raw_endgame_complete,CrossDataset-LC-DQN,1,25.69122314453125,0.0,24.59093982420555,0.0,5.01513671875,0.0,11.0
lcbench_jungle_chess_2pcs_raw_endgame_complete,Random Search,1,26.48839569091797,0.0,25.30764029749831,0.0,5.812309265136719,0.0,10.0
lcbench_kc1,Bayesian Optimization,1,13.704498291015625,0.0,14.82014388489209,0.0,0.0,0.0,6.0
lcbench_kc1,CrossDataset-HyperRL,1,14.989295959472656,0.0,14.38848920863309,0.0,1.2847976684570312,0.0,1.0
lcbench_kc1,CrossDataset-LC-DQN,1,19.271949768066406,0.0,22.73381294964028,0.0,5.567451477050781,0.0,4.0
lcbench_kc1,Random Search,1,14.989295959472656,0.0,15.251798561151077,0.0,1.2847976684570312,0.0,15.0
lcbench_kr-vs-kp,Bayesian Optimization,1,1.9802017211914062,0.0,2.561669829222012,0.0,0.0,0.0,9.0
lcbench_kr-vs-kp,CrossDataset-HyperRL,1,5.374824523925781,0.0,5.313092979127134,0.0,3.394622802734375,0.0,5.0
lcbench_kr-vs-kp,CrossDataset-LC-DQN,1,3.1117401123046875,0.0,3.130929791271342,0.0,1.1315383911132812,0.0,11.0
lcbench_kr-vs-kp,Random Search,1,3.1117401123046875,0.0,3.3206831119544518,0.0,1.1315383911132812,0.0,10.0
lcbench_mfeat-factors,Bayesian Optimization,1,2.934539794921875,0.0,1.9696969696969688,0.0,0.0,0.0,8.0
lcbench_mfeat-factors,CrossDataset-HyperRL,1,3.8374710083007812,0.0,2.1212121212121247,0.0,0.9029312133789062,0.0,18.0
lcbench_mfeat-factors,CrossDataset-LC-DQN,1,4.063201904296875,0.0,2.575757575757578,0.0,1.128662109375,0.0,3.0
lcbench_mfeat-factors,Random Search,1,4.514671325683594,0.0,3.9393939393939377,0.0,1.5801315307617188,0.0,18.0
lcbench_nomao,Bayesian Optimization,1,4.723793029785156,0.0,4.932735426008975,0.0,0.0,0.0,10.0
lcbench_nomao,CrossDataset-HyperRL,1,6.193412780761719,0.0,6.172513848588764,0.0,1.4696197509765625,0.0,7.0
lcbench_nomao,CrossDataset-LC-DQN,1,4.802520751953125,0.0,4.959113690319171,0.0,0.07872772216796875,0.0,11.0
lcbench_nomao,Random Search,1,5.0124664306640625,0.0,5.099797766640293,0.0,0.28867340087890625,0.0,10.0
lcbench_numerai28.6,Bayesian Optimization,1,48.11006164550781,0.0,47.808714802579836,0.0,0.0,0.0,0.0
lcbench_numerai28.6,CrossDataset-HyperRL,1,48.33544540405273,0.0,47.45005505741702,0.0,0.22538375854491477,0.0,19.0
lcbench_numerai28.6,CrossDataset-LC-DQN,1,48.171104431152344,0.0,47.63567720622935,0.0,0.06104278564453125,0.0,8.0
lcbench_numerai28.6,Random Search,1,48.11006164550781,0.0,47.808714802579836,0.0,0.0,0.0,0.0
lcbench_phoneme,Bayesian Optimization,1,21.087867736816406,0.0,21.536735838474485,0.0,0.0,0.0,14.0
lcbench_phoneme,CrossDataset-HyperRL,1,23.84937286376953,0.0,23.724060572069547,0.0,2.761505126953125,0.0,7.0
lcbench_phoneme,CrossDataset-LC-DQN,1,22.426780700683594,0.0,22.770611329220415,0.0,1.3389129638671875,0.0,11.0
lcbench_phoneme,Random Search,1,22.928871154785156,0.0,22.714526079641047,0.0,1.84100341796875,0.0,10.0
lcbench_segment,Bayesian Optimization,1,13.502937316894531,0.0,12.204724409448815,0.0,0.0,0.0,7.0
lcbench_segment,CrossDataset-HyperRL,1,17.416831970214844,0.0,16.666666666666657,0.0,3.9138946533203125,0.0,10.0
lcbench_segment,CrossDataset-LC-DQN,1,16.242660522460938,0.0,16.272965879265087,0.0,2.7397232055664062,0.0,11.0
lcbench_segment,Random Search,1,16.634048461914062,0.0,16.272965879265087,0.0,3.1311111450195312,0.0,2.0
lcbench_shuttle,Bayesian Optimization,1,0.30411529541015625,0.0,0.24555903866249196,0.0,0.0,0.0,14.0
lcbench_shuttle,CrossDataset-HyperRL,1,2.1444168090820455,0.0,2.0741901776384566,0.0,1.8403015136718892,0.0,13.0
lcbench_shuttle,CrossDataset-LC-DQN,1,0.8986275717616081,0.0,0.8850574712643678,0.0,0.5945122763514519,0.0,5.0
lcbench_shuttle,Random Search,1,2.1132278442382812,0.0,2.0480668756530918,0.0,1.809112548828125,0.0,10.0
lcbench_sylvine,Bayesian Optimization,1,5.379188537597656,0.0,7.455621301775153,0.0,0.0,0.0,9.0
lcbench_sylvine,CrossDataset-HyperRL,1,8.377426147460938,0.0,9.230769230769226,0.0,2.9982376098632812,0.0,5.0
lcbench_sylvine,CrossDataset-LC-DQN,1,6.261024475097656,0.0,7.692307692307693,0.0,0.8818359375,0.0,11.0
lcbench_sylvine,Random Search,1,6.701942443847656,0.0,7.928994082840234,0.0,1.32275390625,0.0,18.0
lcbench_vehicle,Bayesian Optimization,1,18.617019653320312,0.0,31.18279569892472,0.0,0.0,0.0,13.0
lcbench_vehicle,CrossDataset-HyperRL,1,27.659576416015625,0.0,31.18279569892472,0.0,9.042556762695312,0.0,18.0
lcbench_vehicle,CrossDataset-LC-DQN,1,29.7872314453125,0.0,26.88172043010752,0.0,11.170211791992188,0.0,13.0
lcbench_vehicle,Random Search,1,30.31914520263672,0.0,29.032258064516128,0.0,11.702125549316406,0.0,7.0
lcbench_volkert,Bayesian Optimization,1,48.44489288330078,0.0,48.37083614820974,0.0,1.6365470886230398,0.0,5.0
lcbench_volkert,CrossDataset-HyperRL,1,50.12797546386719,0.0,50.21046614353271,0.0,3.319629669189446,0.0,2.0
lcbench_volkert,CrossDataset-LC-DQN,1,46.80834579467774,0.0,46.83781115210726,0.0,0.0,0.0,11.0
lcbench_volkert,Random Search,1,46.82385635375976,0.0,46.81182767759705,0.0,0.01551055908201704,0.0,10.0
